filename,reference,count_reference,patern,heuristic,score,commit,indicators,debts,count_debts
extensions/ActiveTestSuite.java,['r3.8.2'],1,2.0,0.0,2.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
extensions/ExceptionTestCase.java,['r3.8.2'],1,5.0,0.0,5.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
extensions/TestDecorator.java,['r3.8.2'],1,4.0,0.0,4.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
framework/Assert.java,['r3.8.2'],1,20.5,0.0,20.5,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,"COMMENT_ANALYSIS_DEFECT_DEBT,COMMENT_ANALYSIS_TEST_DEBT","TEST_DEBT,DEFECT_DEBT",1.0
framework/Protectable.java,['r3.8.2'],1,4.0,0.0,4.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
framework/Test.java,['r3.8.2'],1,9.0,0.0,9.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
framework/TestCase.java,['r3.8.2'],1,8.0,0.0,8.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
framework/TestListener.java,['r3.8.2'],1,3.0,0.0,3.0,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_DEFECT_DEBT,DEFECT_DEBT,1.0
framework/TestResult.java,['r3.8.2'],1,12.5,0.0,12.5,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,"COMMENT_ANALYSIS_DEFECT_DEBT,COMMENT_ANALYSIS_UNKNOWN_DEBT","UNKNOWN_DEBT,DEFECT_DEBT",1.0
framework/TestSuite.java,['r3.8.2'],1,10.0,1.13,11.129999999999999,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,"COMMENT_ANALYSIS_DEFECT_DEBT,COMMENT_ANALYSIS_UNKNOWN_DEBT","UNKNOWN_DEBT,DEFECT_DEBT",1.0
runner/BaseTestRunner.java,['r3.8.2'],1,3.5,0.0,3.5,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_CODE_DEBT,CODE_DEBT,1.0
runner/TestCaseClassLoader.java,['r3.8.2'],1,14.0,2.56,15.28,a0f0ee1b3f72d9361eb09b3a25156c69a748aa47,COMMENT_ANALYSIS_UNKNOWN_DEBT,UNKNOWN_DEBT,1.0
